,pattern,frequency
482,"('Emin', 'Cmaj', 'Emin', 'Emaj')",2
222,"('Amin', 'Cmaj', 'Gmaj', 'Amin')",2
219,"('Gmaj', 'Amin', 'Fmaj', 'Emaj')",2
218,"('Gmaj', 'Dmin', 'Gmaj', 'Amin')",2
197,"('Fmaj', 'Dmin', 'Gmaj', 'Dmin')",2
584,"('Gmaj', 'Amaj', 'Amin', 'Fmaj')",2
141,"('Cmin', 'Fmaj', 'Bbmaj', 'Gmaj')",2
142,"('Bbmaj', 'Gmaj', 'Cmin', 'Fmaj')",2
714,"('Amaj', 'Emin', 'Amin', 'Emin')",2
207,"('Amin', 'Amaj', 'Amin', 'Dmaj')",2
114,"('Gmaj', 'Fmaj', 'Gmaj', 'Amaj')",2
718,"('Amaj', 'Cmaj', 'Amaj', 'Emin')",2
249,"('Amaj', 'Emaj', 'Emin', 'Dmaj')",2
694,"('Gmin', 'Ebmaj', 'Bbmaj', 'Fmaj')",2
685,"('Ebmaj', 'Dmaj', 'Gmaj', 'Fmaj')",2
686,"('Dmaj', 'Gmaj', 'Fmaj', 'Emaj')",2
687,"('Gmaj', 'Fmaj', 'Emaj', 'Ebmaj')",2
469,"('Cmaj', 'Cmin', 'Cmaj', 'Cmin')",2
259,"('Fmaj', 'Gmaj', 'Amaj', 'Fmaj')",2
437,"('Fmin', 'Gmaj', 'Gmin', 'Fmaj')",2
256,"('Emaj', 'Emin', 'Dmaj', 'Dmin')",2
254,"('Amin', 'Emin', 'Dmaj', 'Dmin')",2
253,"('Amaj', 'Amin', 'Emin', 'Dmaj')",2
692,"('Bbmaj', 'Fmaj', 'Gmin', 'Ebmaj')",2
251,"('Fmaj', 'Gmaj', 'Amaj', 'Amin')",2
693,"('Fmaj', 'Gmin', 'Ebmaj', 'Bbmaj')",2
490,"('Emaj', 'Emin', 'Cmaj', 'Emaj')",2
107,"('Gmaj', 'Amin', 'Amaj', 'Gmaj')",2
165,"('Emin', 'Amin', 'Bmaj', 'Emin')",2
98,"('Cmaj', 'Gmaj', 'Gmin', 'Gmaj')",2
245,"('Dmin', 'Gmaj', 'Bbmaj', 'Dmin')",2
468,"('Cmaj', 'Amin', 'Gmaj', 'Amin')",2
242,"('Amaj', 'Dmin', 'Gmaj', 'Dmin')",2
592,"('Gmaj', 'Gmin', 'Gmaj', 'Cmaj')",2
548,"('Fmaj', 'Gmaj', 'Abmaj', 'Bbmaj')",1
620,"('Dmin', 'Amin', 'Dmin', 'Gmaj')",1
538,"('Gmaj', 'Cmaj', 'Gmaj', 'Amin')",1
621,"('Bmaj', 'Emin', 'Amin', 'Fmaj')",1
580,"('Dmaj', 'Amin', 'Gmaj', 'Ebmaj')",1
546,"('Cmaj', 'Gmaj', 'Cmaj', 'Dmaj')",1
574,"('Amin', 'Dmaj', 'Cmaj', 'Amin')",1
568,"('Fmaj', 'Gmaj', 'Fmaj', 'Amaj')",1
569,"('Gmaj', 'Fmaj', 'Amaj', 'Amin')",1
543,"('Emin', 'Emaj', 'Gmaj', 'Amaj')",1
539,"('Amaj', 'Gmaj', 'Fmaj', 'Gmaj')",1
570,"('Gmaj', 'Fmaj', 'Dmaj', 'Amin')",1
622,"('Emin', 'Amin', 'Fmaj', 'Gmaj')",1
577,"('Amin', 'Dmaj', 'Cmaj', 'Gmaj')",1
571,"('Fmaj', 'Amaj', 'Amin', 'Dmaj')",1
